Instances,Source,feature_SmallerBetterPairs,feature_FirstWeight,feature_ReducedMaxCardinality,feature_ReducedPolyfitLinear,feature_f,feature_t2,feature_t3,feature_minWeight,feature_t1,algo_Combo
knapPI_11_10000_1000_41,data set A,0.452178297829783,0.0274647887323944,0.459833231645312,1.0,0.34533453345334536,7.726846939023603,-4.518420384199069,0.9996960457918327,9.761280337277483,-1.3821354655384894
knapPI_13_10000_1000_58,data set A,0.276781578157816,0.0978723404255319,0.7451,0.999991509146345,0.6729672967296729,7.719898335272906,1.988703228955741,0.9997503095640273,9.811004600115025,3.4854546120339496
knapPI_16_10000_1000_44,data set A,0.998998779877988,0.001,0.615165240731421,0.909553695121902,0.24792479247924792,-0.0271974453260366,-4.714410111764513,0.9996983165231671,10.497642252665411,-2.9774887446966303
knapPI_15_5000_1000_100,data set A,0.610429205841168,0.002,0.9952,0.999992019128504,0.9237847569513903,-1.0228023384202065,-3.580152048586141,0.9996014917343186,9.247764345932989,-2.391195544652766
knapPI_12_2000_1000_31,data set A,0.219957978989495,0.0948717948717949,0.753077480086894,0.952650501035756,0.400200100050025,2.938338594534806,-5.888692767834873,0.9982578809210371,4.048959259419376,-2.9821336965515766
knapPI_6_100_1000000_54,data set A,0.0,0.0340160149523584,0.73,1.0,0.7171717171717171,-4.177427175533922,-4.653645106179335,0.9745484718943171,7.135681186163473,-3.873364996283186
knapPI_13_10000_1000_59,data set A,0.319063626362636,0.0730263157894737,0.7633,0.998353195721002,0.5493549354935493,7.728467919441209,-2.5767179859699967,0.9997475445618317,11.223869844664963,0.849612291512843
knapPI_11_10000_1000_96,data set A,0.45041700170017,0.0270491803278689,0.97109634551495,0.746221729217041,0.9335933593359336,7.731934255535739,-3.3352524885090507,0.9997342662343738,10.688229804551353,-2.728691949589065
knapPI_3_100_1000000_76,data set A,1.0,0.0113280805767096,0.88,1.0,0.45454545454545453,-3.8662788218148387,-4.5849076392986525,0.9761452085426962,7.476685343773664,-3.734952773966144
knapPI_11_5000_1000_39,data set A,0.204199799959992,0.0870967741935484,0.6056,0.999861692043268,0.4502900580116023,5.667109480820234,-4.717608942028242,0.999388988798128,6.644229932101291,-0.2357685544538254
knapPI_16_10000_1000_99,data set A,0.999014061406141,0.001,0.99,0.929896721897188,0.8592859285928592,0.007908543637419219,-4.761778635447143,0.9998012867892064,11.274711581618307,-3.1897356348334767
knapPI_15_2000_1000_91,data set A,0.61623711855928,0.001,0.9495,0.999992052962424,0.7543771885942971,-2.026530424781409,-5.081397403944612,0.9989532146010399,6.573108432529441,-1.9343338256626306
knapPI_15_10000_1000_31,data set A,0.608903070307031,0.001,0.5538,0.999991871414978,0.3203320332033203,-0.02195515034567969,-4.713204424576586,0.9996403723619938,10.023885611130472,-2.7550417882562064
knapPI_11_10000_1000_78,data set A,0.37528896889689,0.0548611111111111,0.843058968058968,0.62413666951746,0.7866786678667866,7.7282960708720685,-0.9697457995877745,0.9997771935014137,11.22259330136702,-0.9537950812828315
knapPI_13_1000_1000_59,data set A,0.327951951951952,0.0730263157894737,0.762,0.998356965169678,0.5635635635635635,0.9129717185628844,-3.788330170702959,0.9975226137595624,4.52561904462671,-4.612622833349647
knapPI_16_10000_1000_60,data set A,0.998998159815982,0.001,0.7699,0.931683814550693,0.36363636363636365,0.06373407551901968,-5.410744041373379,0.9997424663021007,10.843564061377517,-3.02139409377071
knapPI_13_2000_1000_43,data set A,0.399538269134567,0.0496296296296296,0.6755,0.993176958234774,0.4047023511755878,2.912350880107982,-3.473031995764787,0.9986291416491879,5.519898222527423,-3.4692065164363988
knapPI_6_200_1000000_22,data set A,0.0,0.00146432134376324,0.47,1.0,0.4623115577889447,-2.9865162526387254,-5.313338065275081,0.9797750801057084,7.987045684625776,-3.9862163782177427
knapPI_11_10000_1000_59,data set A,0.467333833383338,0.0203947368421053,0.8475,0.998439350868861,0.4087408740874087,7.732914676526342,-0.5578044627570731,0.9996565308235165,10.233690618993291,1.1366891094856193
